city,cloudiness,country,date,humidity,lat,lng,max_Temp,wind_Speed
nenjiang,0,CN,09-01-2019,78,49.17,125.23,10.15,2.36
venice,75,US,09-01-2019,59,27.1,-82.45,34.44,4.6
cabo san lucas,75,MX,09-01-2019,66,22.89,-109.91,33.33,3.6
tiksi,100,RU,09-01-2019,84,71.64,128.87,3.95,2.36
isangel,100,VU,09-01-2019,86,-19.55,169.27,23.85,10.41
mataura,14,NZ,09-01-2019,84,-46.19,168.86,6.11,0.89
esperance,33,AU,09-01-2019,93,-33.86,121.89,10.0,5.7
tuktoyaktuk,20,CA,09-01-2019,73,69.44,-133.03,3.0,7.7
mahebourg,20,MU,09-01-2019,73,-20.41,57.7,21.0,2.1
dutlwe,0,BW,09-01-2019,33,-23.98,23.93,11.35,2.02
nantucket,1,US,09-01-2019,49,41.28,-70.1,23.33,4.1
krasnovishersk,100,RU,09-01-2019,92,60.4,57.08,7.55,3.33
haines junction,28,CA,09-01-2019,61,60.75,-137.51,8.45,2.28
hermanus,71,ZA,09-01-2019,82,-34.42,19.24,15.0,4.47
nabire,65,ID,09-01-2019,96,-3.36,135.5,19.65,2.17
saldanha,39,PT,09-01-2019,28,41.42,-6.55,28.15,1.43
ponta do sol,46,BR,09-01-2019,26,-20.63,-46.0,30.05,1.28
bethel,90,US,09-01-2019,87,60.79,-161.76,14.0,3.6
kapaa,75,US,09-01-2019,74,22.08,-159.32,30.0,5.1
thompson,75,CA,09-01-2019,42,55.74,-97.86,9.0,3.1
the valley,20,AI,09-01-2019,66,18.22,-63.06,33.0,4.1
tomakomai,75,JP,09-01-2019,93,42.65,141.6,15.0,1.5
ushuaia,75,AR,09-01-2019,80,-54.81,-68.31,1.0,7.7
punta arenas,0,CL,09-01-2019,45,-53.16,-70.91,6.0,10.3
saskylakh,100,RU,09-01-2019,92,71.97,114.09,4.25,5.32
pandamatenga,1,BW,09-01-2019,4,-18.54,25.64,20.35,3.68
sibu,75,MY,09-01-2019,94,2.29,111.83,25.0,0.5
albany,75,US,09-01-2019,53,42.65,-73.75,24.44,2.99
tasiilaq,20,GL,09-01-2019,49,65.61,-37.64,8.0,4.1
agirish,100,RU,09-01-2019,93,61.92,63.02,9.35,4.53
husavik,18,CA,09-01-2019,48,50.56,-96.99,21.67,3.06
kaitangata,9,NZ,09-01-2019,68,-46.28,169.85,6.11,3.58
sioux lookout,90,CA,09-01-2019,93,50.1,-91.92,15.0,2.52
dali,2,CN,09-01-2019,66,34.79,109.94,19.95,2.62
zapolyarnyy,75,RU,09-01-2019,77,69.43,30.82,16.0,7.2
fortuna,1,US,09-01-2019,82,40.6,-124.16,27.78,6.2
tuatapere,17,NZ,09-01-2019,84,-46.13,167.69,6.11,0.89
rikitea,100,PF,09-01-2019,88,-23.12,-134.97,22.05,6.15
bluff,0,AU,09-01-2019,36,-23.58,149.07,14.45,3.92
hobart,20,AU,09-01-2019,81,-42.88,147.33,8.0,3.6
vaini,100,IN,09-01-2019,95,15.34,74.49,23.45,1.54
pedernales,85,EC,09-01-2019,87,0.07,-80.05,21.85,6.19
beringovskiy,100,RU,09-01-2019,96,63.05,179.32,7.25,2.53
